Filename,WindSpeed,Power,Thrust,Ct,Samples
case_Dir0_Ang0_Spd13p4.out,13.4,4999.749062546873,507.26219689015545,0.36990128232928265,20001
case_Dir0_Ang0_Spd13p5.out,13.5,4999.694965251738,501.4028198590071,0.3602319014247312,20001
case_Dir0_Ang0_Spd13p6.out,13.6,4999.669566521674,495.7918854057297,0.35098174838461643,20001
case_Dir0_Ang0_Spd13p7.out,13.700000000000001,4999.6380180990955,490.4031298435078,0.3421172987480497,20001
case_Dir0_Ang0_Spd13p8.out,13.799999999999999,4999.61171941403,485.22403379831013,0.33361615020854596,20001
case_Dir0_Ang0_Spd13p9.out,13.9,4999.621568921554,480.21019949002545,0.3254353418188288,20001
case_Dir0_Ang0_Spd14p0.out,14.0,4999.607569621519,475.3431678416079,0.31755146461273265,20001
case_Dir0_Ang0_Spd14p1.out,14.1,4999.610569471526,470.63427828608565,0.3099618651615827,20001
case_Dir0_Ang0_Spd14p2.out,14.200000000000001,4999.6230688465575,466.0428428578571,0.3026300777224942,20001
case_Dir0_Ang0_Spd14p3.out,14.299999999999999,4999.6357682115895,461.5522573871306,0.29553691788710984,20001
case_Dir0_Ang0_Spd14p4.out,14.4,4999.643467826609,457.15362731863405,0.2886689823747688,20001
case_Dir0_Ang0_Spd14p5.out,14.5,4999.6676666166695,452.8559572021399,0.2820246156560239,20001
case_Dir0_Ang0_Spd14p6.out,14.6,4999.679216039198,448.6591570421479,0.27559653933345957,20001
case_Dir0_Ang0_Spd14p7.out,14.700000000000001,4999.68801559922,444.5356932153393,0.2693611164725847,20001
case_Dir0_Ang0_Spd14p8.out,14.799999999999999,4999.69621518924,440.5388880555973,0.2633441988662362,20001
case_Dir0_Ang0_Spd14p9.out,14.9,4999.704414779261,436.64968751562424,0.2575274646397608,20001
case_Dir0_Ang0_Spd15p0.out,15.0,4999.708864556772,432.8182790860457,0.25187554962139047,20001
case_Dir0_Ang0_Spd15p1.out,15.1,4999.706614669267,429.0703314834258,0.24639819757497217,20001
case_Dir0_Ang0_Spd15p2.out,15.200000000000001,4999.715314234289,425.42984350782467,0.24110360912525805,20001
case_Dir0_Ang0_Spd15p3.out,15.299999999999999,4999.741862906854,421.89390030498475,0.23598441399354525,20001
case_Dir0_Ang0_Spd15p4.out,15.4,4999.757162141893,418.4307534623269,0.23101761190868392,20001
case_Dir0_Ang0_Spd15p5.out,15.5,4999.7728613569325,415.0487475626219,0.22620314911075481,20001
case_Dir0_Ang0_Spd15p6.out,15.6,4999.776461176941,411.7541772911354,0.2215397965186631,20001
case_Dir0_Ang0_Spd15p7.out,15.700000000000001,4999.786160691965,408.49763011849404,0.2169967212645272,20001
case_Dir0_Ang0_Spd15p8.out,15.799999999999999,4999.795310234488,405.32493375331234,0.21259452794128839,20001
case_Dir0_Ang0_Spd15p9.out,15.9,4999.808359582021,402.25692215389233,0.20833978565934486,20001
case_Dir0_Ang0_Spd16p0.out,16.0,4999.812209389531,399.2579621018949,0.20420978860824832,20001
case_Dir0_Ang0_Spd16p1.out,16.099999999999998,4999.814909254537,396.3095495225239,0.2001915400550749,20001
case_Dir0_Ang0_Spd16p2.out,16.2,4999.816559172042,393.4356732163392,0.19629382670317982,20001
case_Dir0_Ang0_Spd16p3.out,16.3,4999.817659117044,390.6338933053347,0.19251193029440652,20001
case_Dir0_Ang0_Spd16p4.out,16.400000000000002,4999.830308484576,387.8915704214789,0.1888363428556904,20001
case_Dir0_Ang0_Spd16p5.out,16.5,4999.847657617119,385.19740012999347,0.1852586069897938,20001
